Date;Catégorie;Titre;Réalisateur;Animateurs;Résumé;Lien Youtube
1995-10-22;Géographie – Découverte;Descente au cœur des glaciers;François Chayé ;Fred et Jamy ;"C'est pas sorcier part dans la vallée de Chamonix à la découverte de quelques uns des plus beaux glaciers français. On commence par le plus grand - la Mer de Glace qui serpente sur plus de 11 km de long - et on poursuit avec les glaciers des Bossons, d'Argentière ou encore le glacier du Géant. En partant du sommet, là où s'accumulent les neiges éternelles, nous allons descendre sur ces longs fleuves de glace qui avancent en moyenne de 100 mètres par an. Accompagnés d'un guide de haute montagne et d'un glaciologue, nous allons explorer les rimayes, les crevasses, les séracs et les ""moulins"", ces énormes trous creusés dans la glace par l'eau de fonte. Nous irons même nous promener sous le glacier d'Argentière, dans des galeries qui servent à collecter l'eau pour alimenter une centrale électrique";https://youtu.be/Iz6rCL01Pt8
1996-01-01;Géographie – Découverte;L'ascension du mont Blanc;Franck Chaudemanche ;Fred et Jamy ;Fred et Jamy prennent la direction de Chamonix pour faire l'ascension du Mont-Blanc. Fred commence l'ascension avec le tramway à crémaillère construit en 1909 et s'arrête au refuge du Nid d'Aigle à 2400 m d'altitude. Tout au long de la montée, il nous parle des conditions de vie rencontrées en altitude et dues au manque d'air, et des conséquences que cela peut entraîner sur notre organisme. Il évoque aussi le mal des montagnes et le rôle du caisson hyperbar avec les médecins de l'ARPE, installés dans le laboratoire du refuge Vallot. Après plusieurs étapes, le voilà enfin arrivé au sommet à 4807 m. Nous verrons également des reportages sur les premières ascensions du Mont-Blanc, les grands noms de l'alpinisme, et les risques encourus en montagne.;https://youtu.be/Sg4zYbaFYwE
1996-01-01;Géographie – Découverte;Réveillon sous la neige;Catherine Breton ;Fred et Jamy ;Nous retrouvons Fred et Jamy dans le parc naturel du Queyras pour parler de la faune et de la végétation de haute montagne. Ils nous expliqueront pourquoi on ne trouve que des forêts de résineux à cette altitude, comment les animaux résistent au dur climat de l'hiver etc.;https://youtu.be/yx1IcaF-jOs
1996-04-28;Géographie – Découverte;La traversée du désert;François Chayé ;Fred et Jamy ;Fred et Jamy quittent le continent européen pour aller dans le plus grand désert du monde : le Sahara. En 4x4, à dos de dromadaire ou de mulet, ils nous font découvrir le désert et ses habitants. Fred nous montre que ce désert de 8 millions de km carrés n'est pas fait que de sable et de dunes, mais de paysages variés : gorges, regs  (vallées de cailloux) et falaises de grès. Il nous parle des conditions climatiques, de l'aridité et des végétaux qui se sont adaptés à la sécheresse comme l'arbre Acacia Raddiana. Ce sera l'occasion de faire un tour d'horizon des principaux déserts de notre planète qui couvrent jusqu'à 20 % de sa surface. A Laayoune, Fred part à la rencontre des Peuls et des Touaregs, nomades du Sahara. Mais, il découvre également des agriculteurs sédentaires dans le village de Tarfaya. Nous verrons aussi comment certaines espèces animales vivent dans le désert et bien sûr le plus étonnant des animaux du Sahara : le dromadaire.;https://youtu.be/b1SCiHjvA5w
1996-05-05;Géographie – Découverte;L'oasis, une escale dans le désert;François Chayé ;Fred et Jamy ;Fred et Jamy quittent le continent européen pour aller dans le plus grand désert du monde : le Sahara. En 4x4, à dos de dromadaire ou de mulet, ils nous font découvrir le désert et les oasis, où la vie répond à une organisation très particulière. Fred et Jamy parcourent le désert à la recherche d'un point d'eau et atteignent une oasis, située au sud est du Sahara marocain, l'oasis de Fint. Nous verrons comment les oasiens (habitants de l'oasis) vivent et s'organisent pour travailler et cultiver leur parcelle. L'oued de Fint alimente l'oasis en eau grâce au réseau de séguias, permettant l'irrigation des parcelles. L'oasis recrée un micro climat qui rend l'agriculture possible. La présence des palmiers dattiers joue, en effet, un rôle primordial puisqu'ils abritent du soleil les arbustes, amandiers et autres cultures variées (céréales, agrumes, tomates...).;https://youtu.be/sQRpONjN-zs
1996-06-09;Géographie – Découverte;Le marais poitevin;Franck Chaudemanche ;Fred et Jamy ;"Fred et Jamy nous emmènent découvrir le marais poitevin, qu'on appelle aussi la ""Venise verte"". Après un survol de l'ensemble du marais, dont la superficie atteint 96 000 hectares, Fred nous explique comment celui-ci a été endigué et desséché. Nous découvrons avec lui les canaux d'évacuation et les portes à flot qui séparent les eaux salées de la mer des eaux douces du canal, puis nous effectuons une petite plongée dans la vie quotidienne des habitants de ce site si particulier.";https://youtu.be/BQFcESjChRY
1996-12-25;Géographie – Découverte;Noël à Saint-Véran;Franck Chaudemanche ;Fred et Jamy ;La veille de Noël, Fred et Jamy abandonnent leur camion-atelier pour un voyage pittoresque au cœur du Queyras, dans le village de Saint-Véran. Ce sera l'occasion pour découvrir les activités traditionnelles : la fromagerie, le four à pain, la vie des bergers etc. Jamy nous expliquera comment faire du fromage, pourquoi la laine des moutons tient chaud...;https://youtu.be/34BTnxVqZFc
1997-01-01;Géographie – Découverte;Le Mont-Saint-Michel, contre vents et marées;Catherine Breton ;Fred et Jamy ;Le camion de Fred et Jamy prend la direction du Mont Saint-Michel pour nous faire découvrir ce site unique, classé Patrimoine Mondial par l'UNESCO.Nous découvrons avec eux la faune et la flore du Mont et la vie des pêcheurs et des bergers qui s'adaptent au rythme des marées. Ils nous expliquent également en quoi consiste le projet de rétablissement du caractère maritime du Mont Saint-Michel.;https://youtu.be/PtWrL1E-I4k
1997-03-30;Géographie – Découverte;Sur la route de Ouagadougou;Pascal Léonard ;Fred et Jamy ;Fred et Jamy continuent leur périple en Afrique de l'ouest et s'arrêtent au Burkina Faso dont nous pourrons découvrir les principales ressources et les modes de vie. Fred arrive à Ouagadogou et nous présente ce pays dont 80 % de la population vivent encore dans les campagnes. Puis, il nous entraîne dans un village, où les familles habitent souvent de génération en génération. Nous verrons comment les femmes préparent les repas à l'extérieur de la maison, et quelles sont les ressources agricoles ou autres des villageois. Fred s'intéresse également à la scolarisation des enfants et nous emmène dans une classe du primaire. Nous parlerons également du manque d'eau potable et de la désertification des sols. Jamy nous explique qu'est-ce que le Sahel, comment le baobab résiste-t-il à la sécheresse, qu'est-ce qui provoque l'érosion des sols, à quoi sert un arbre, de quoi vit une famille de paysans, comment l'aide alimentaire peut déstabiliser un pays etc.;https://youtu.be/cVz4zXNgNXo
1998-01-01;Géographie – Découverte;La Loire : des sources à Orléans;Catherine Breton ;Fred et Jamy ;Fred et Jamy partent à la découverte du plus long fleuve de France, de ses sources à Orléans. Au Mont Gerbier-de-Jonc, la Loire n'est qu'un minuscule filet d'eau. Fred décide de descendre ce cours d'eau à pied, en canoë et à bord de vieilles embarcations. Nous découvrons avec lui l'écologie de ce fleuve sauvage, ainsi que la vie et les activités qui s'y sont développées au cours des siècles. Jamy nous montre comment se forme une source, ce qu'est la ligne de partage des eaux et le bassin versant d'un fleuve, mais aussi les différents lits du fleuve et le réseau de canaux qui relie la Loire à la Seine et au Rhône ainsi que l'existence de fleuves souterrains...;https://youtu.be/JDeaWTTxp84
1998-01-01;Géographie – Découverte;La Loire : d’Orléans à l’estuaire;Catherine Breton ;Fred et Jamy ;La Loire est le fleuve européen qui a le battement le plus important. Fred et Jamy vont retrouver les marques de la dernière crue centennale de 1866. Ils nous montrent les moyens utilisés pour lutter contre les inondations et protéger les 300 000 personnes qui vivent encore en zone inondable. Puis Fred poursuivra sa route à bord d'une vieille gabare, un bateau de marchandises à voile carrée qui sillonnait la Loire au milieu du 19ème siècle.;https://youtu.be/SfgvNkEWa34
1999-01-01;Géographie – Découverte;La cartographie;Catherine Breton ;Fred et Jamy ;Pourquoi s'est-on servi des mouvements du Soleil pour dessiner les premières cartes du monde ? Comment Eratosthène a-t-il réussi à calculer la taille de la Terre ? Comment représente-t-on une sphère sur un plan ? Comment les géomètres font-ils pour retranscrire sur une carte les prises de vues faites sur le terrain ? Pour nous parler de la cartographie, Fred s'est rendu à la Bibliothèque Nationale, où l'on conserve toutes les cartes éditées depuis le début du 19ème siècle. Il a également suivi les géomètres de l'IGN qui, à pied ou en avion, établissent les cartes de notre pays dans les moindres détails.;https://youtu.be/Ft6KM9AzKig
1999-01-01;Géographie – Découverte;La Provence;Franck Chaudemanche ;Fred et Jamy ;Nos deux acolytes nous emmènent faire une petite balade en Provence, au pays des cigales. Nous découvrirons pourquoi cette région bénéficie d'un climat exceptionnel et comment naît le Mistral. Nous verrons comment les plantes s'adaptent à la chaleur tout au long de la journée et, entre la sieste et une partie de pétanque, nous apprendrons tout sur le chant des cigales et la production d'huile d'olive;https://youtu.be/y26nN0jrups
1999-10-03;Géographie – Découverte;Les polders : de la terre gagnée sur la mer;Pascal Léonard ;Fred et Jamy ;Les Pays-Bas méritent bien leur nom. Leur surface est complètement plate. Pas de montagnes, pas de collines ! En Néerlandais, Hol-land signifie même pays creux. En fait, 24% de sa surface se situe sous le niveau de la mer. Le pays est tellement plat que l'homme a du construire partout des digues pour se protéger des inondations qui le menacent en permanence. Fred et Jamy nous expliquent tout sur cette lutte audacieuse de l'homme contre les eaux. Pourquoi la situation topographique du pays favorise-t-elle les inondations ? Comment assure-t-on la solidité des digues qui protègent la terre des assauts de la mer ? Comment procède-t-on pour assécher le sol de ce qui deviendra ensuite un polder ? Quelles sont les techniques désormais employées pour éviter les nombreuses catastrophes que le pays a connu durant ces derniers siècles ?;https://youtu.be/I1OwT-icnLY
2000-01-01;Géographie – Découverte;Les Landes : sous la forêt, la plage;Lorraine Subra-Moreau ;Sabine, Fred et Jamy ;La forêt des Landes de Gascogne, l'une des plus grandes d'Europe, a été entièrement façonnée par la main de l'homme. Fred, Sabine et Jamy nous expliquent tout sur son histoire, son exploitation et sa préservation. Aujourd'hui royaume du pin maritime, la forêt n'a pas toujours présenté ce visage verdoyant : des terres marécageuses et insalubres s'offraient autrefois à perte de vue. Nous découvrons avec l'équipe de C'est pas sorcier comment, à partir de 1857, on est parvenu à mettre en valeur cette lande autrefois stérile que l'on parcourait perché sur des échasses. Sur quels départements la forêt des Landes de Gascogne s'étend-elle ? Pourquoi, sur tout le triangle des Landes, le sol est-il recouvert d'un sable très fin ? D'où vient le cordon dunaire qui borde toute la forêt ? Pourquoi trouve-t-on beaucoup d'étangs et de zones humides derrière ces dunes ? Comment a-t-on fixé les dunes pour éviter qu'elles n'envahissent l'intérieur des terres ? Quelle est la technique d'exploitation du bois dans la forêt des Landes ?;https://youtu.be/jNaFZga-ltc
2000-01-30;Géographie – Découverte;Viva Mexico;Pascal Léonard ;Fred et Jamy ;Nos trois compères nous offrent une visite de la 3ème ville de la planète : Mexico. Ils reviennent sur les origines aztèques de la ville, nous contant le quotidien de ses habitants avant la conquête espagnole, puis abordent les problèmes actuels de cette mégalopole. Où se trouve précisément Mexico ? Comment les Aztèques ont-ils bâti cette ville ? A quoi ressemblait-elle alors ? Comment et pourquoi les conquistadors ont-ils conquis Tenochtitlan, qui deviendra plus tard Mexico ? Comment les Espagnols ont-ils asséché puis agrandi la ville ? Quelle est la répartition actuelle de la population à Mexico ? Pourquoi les besoins en eau ont-ils fragilisé le sol au point que l'on constate des tassements de terrain de plus de 1.20 mètres de profondeur ? Pourquoi la ville est-elle si polluée ?;https://youtu.be/cV89HfqFDS8
2000-03-19;Géographie – Découverte;Rotterdam : le plus grand port du monde;Franck Chaudemanche ;Sabine, Fred et Jamy ;Rotterdam est une porte d'entrée vers l'Europe pour les produits du monde entier. Toutes sortes de marchandises y font étape : fruits frais, sable, pétrole, vêtements ou scooters... A lui seul, le port de Rotterdam représente 31% du trafic de marchandises des grands ports européens. Fred, Jamy et Sabine nous expliquent le fonctionnement de ce gigantesque port marchand. Comment les porte-conteneurs circulent-ils à l'intérieur du port ? Comment décharge-t-on les cargaisons ? Quels sont les réseaux routiers, ferroviaires et fluviaux qui prennent le relais pour distribuer les marchandises à travers toute l'Europe ? Comment fait-on pour ne pas se tromper sur les multiples destinations ?;https://youtu.be/oQryUQ5U8Ik
2000-06-04;Géographie – Découverte;La Camargue : entre sel et terre;Franck Chaudemanche ;Sabine et Jamy ;Fred, Jamy et Sabine sont partis à la découverte de la Camargue. Des prairies salées qui offrent aux chevaux et aux taureaux d'immenses espaces vierges, aux dunes et aux étangs du sud qui dissimulent chaque été des dizaines de milliers de flamands roses, nos trois compères explorent les multiples visages de cette région. Quelles sont les frontières de la Camargue ? Comment le delta du Rhône et la lagune se sont-ils formés ? Pourquoi trouve-t-on des prairies salées à plus de 25 km de la mer ? Comment le réseau hydrographique de la Camargue alimente-t-il la plaine en eau douce ? Comment l'eau douce protège-t-elle le riz du sel contenu dans la terre ? Pourquoi les flamands sont-ils roses ? Comment les chevaux et les taureaux résistent-ils aux très rudes conditions de vie de la Camargue ?;https://youtu.be/e1i4KGI5Ag0
2000-12-31;Géographie – Découverte;Sauver Venise;Lorraine Subra-Moreau ;Sabine et Jamy ;Venise est une merveille d'architecture. C'est aussi une cité fragile soumise aux caprices de son environnement. Le réchauffement climatique, la pollution, l'acqua alta, le passage incessant des pétroliers dans la lagune sont autant de menaces de la voir disparaître un jour. L'équipe de C'est pas sorcier est partie à la découverte de la Venise d'aujourd'hui et nous explique les solutions qui pourraient sauver la ville, en conciliant équilibre écologique et développement industriel. Pourquoi Venise s'est-elle enfoncée ? Pourquoi le réchauffement de la planète menace-t-il la ville ? Pourquoi Venise est-elle si souvent paralysée par les inondations ? Quelles menaces pèsent aujourd'hui sur les bâtiments ? Comment peut-on protéger la ville des assauts de l'eau ? Pourquoi serait-il risqué de fermer la lagune ?;https://youtu.be/kiKHDouin5M
2001-01-01;Géographie – Découverte;La planète sous toutes ses latitudes;Christophe Renon ;Sabine, Fred et Jamy ;Qu'on soit dans l'hémisphère Nord ou dans l'hémisphère Sud, on a tous le même soleil. Et pourtant, c'est l'été pour les uns, et l'hiver pour les autres. Fred est parti sous les Tropiques, sur l'île de la Réunion, tandis que notre Sabine est restée prendre l'eau dans notre hémisphère Nord... Jamy, lui, nous explique notre planète sous toutes ses latitudes. Notre planète se comporte comme un gros aimant, avec un pôle Nord et un pôle Sud : elle n'a ni haut, ni bas. Comment se répartissent les continents entre sa moitié Sud et sa moitié Nord ? Pourquoi hiver et été sont-ils inversés entre les deux hémisphères. Comment explique-t-on les différences de climat d'une région à l'autre ? Pourquoi est-ce en été qu'il pleut le plus sous les Tropiques ? Qu'est-ce que c'est exactement la force de Coriolis ? Pourquoi les cyclones tournent-ils dans le sens des aiguilles d'une montre dans l'hémisphère Sud, et dans le sens inverse dans l'hémisphère Nord ?;https://youtu.be/sQZlgc41_k8
2001-12-23;Géographie – Découverte;La Réunion : une île sortie de l'océan;Christophe Renon ;Fred et Jamy ;Fred, Jamy et Sabine nous font découvrir l'histoire de cette jeune île volcanique qui émergea voilà maintenant 3 millions d'années au cœur de l'Océan Indien, à 800 km au large de Madagascar. Fred nous entraîne dans l'ascension du Piton de la Fournaise. Toujours très actif, ce volcan façonne de somptueux paysages au gré de ses éruptions. Puis nous le retrouvons en expédition dans la forêt primaire de Bebour,  survolant en hélicoptère les fameux cirques de l'île et le Trou de Fer ou encore en canyoning dans l'impressionnante cascade de Langevin. Jamy nous explique comment est apparu cette île au milieu de l'océan, l'histoire des volcans qui la constituent et il nous raconte comment la végétation a colonisé progressivement cette petite île volcanique. Jamy nous explique comment est apparu cette île au milieu de l'océan, l'histoire des volcans qui la constituent et il nous raconte comment la végétation a colonisé progressivement cette petite île volcanique.;https://youtu.be/FpA0cgSucx4
2002-01-01;Géographie – Découverte;La Cappadoce, une région féerique;Bernard Gonner ;Sabine et Jamy ;Fred, Jamy et Sabine nous font découvrir l'histoire géologique et humaine de la Cappadoce, une région exceptionnelle où le vent et l'eau se sont associés pour sculpter sans répit une roche volcanique fragile. En montgolfière ou à dos d'âne, ils parcourent la Cappadoce pour découvrir les étrangetés géologiques qui font aujourd'hui la renommée de cette région rurale nichée sur le plateau anatolien, bien loin de l'ancienne cité ottomane d'Istanbul. Ils sont à Göreme, où des moines ont creusé un extraordinaire complexe d'églises, de bibliothèques, de salles d'étude, aujourd'hui classé patrimoine mondial de l'Humanité. Nous les retrouvons ensuite au cœur des étonnantes cités souterraines. Nous explorons avec eux les passages secrets, les cuisines, les étables et les magasins qui permettaient à des milliers de personnes de tenir des sièges de plusieurs semaines.;https://youtu.be/rPfuS_rWCL8
2003-01-01;Géographie – Découverte;Islande : une île qui souffle le chaud et le froid;Luc Baudonnière ;Fred et Jamy ;Des geysers qui projettent leurs gerbes d'eau brûlante à travers les airs, des volcans qui entrent en éruption sous un glacier, un lac où flottent des icebergs, des fjords étrangement sculptés par la glace...Cette île aux paysages uniques au monde a été façonnée par des volcans surgis de l'océan, il y a vingt millions d'années. Aujourd'hui encore, le feu et l'eau continuent de s'y livrer bataille, faisant de l'Islande une terre en perpétuelle évolution.Sous les tiraillements et les hoquets des profondeurs de notre planète, l'île s'agrandit, se creuse, se boursoufle et parfois -- avec ses terribles éruptions volcaniques - se met en colère Accompagnés de Jean-Marie Dautria -- un scientifique qui conna l'Islande comme sa poche -- Fred, Jamy et Sabine sont partis sur les traces de cette histoire géologique tourmentée.;https://youtu.be/xYsw5gcUPf0
2003-01-15;Géographie – Découverte;L'estuaire de la Gironde;Catherine Breton ;Sabine et Jamy ;Signalé depuis la mer par le majestueux phare de Cordouan et bordé, d'une rive à l'autre, de falaises de calcaire et de vignobles réputés, l'estuaire de la Gironde est le plus vaste estuaire d'Europe. La Garonne et la Dordogne - qui se rejoignent là avant d'aller se jeter dans l'océan atlantique - y déversent leurs eaux chargées de sédiments, tandis qu'avec la marée montante, des quantités considérables d'eau de mer s'engouffrent elles aussi dans l'estuaire. Fred, Jamy et Sabine nous expliquent comment, au fil du temps, la rencontre de ces eaux douces et salées a sculpté le paysage. Comment les côtes sableuses évoluent-elles sous l'action des courants marins et du déferlement des vagues ? Pourquoi les deux rives de l'estuaire sont-elles si différentes ? Comment les fragiles îles de l'archipel girondin sont-elles apparues ? Lamproie, bar, maigre ou esturgeon... D'où viennent les poissons qui traversent la Gironde ?;https://youtu.be/e4SQxQiukyk
2005-01-01;Géographie – Découverte;Nouvelle-Calédonie : un caillou sous les tropiques;Catherine Breton ;Fred et Jamy ;La Nouvelle-Calédonie est un petit bout de France sous les tropiques, situé à plus de 20 000 km de la métropole. C'est dans ce coin de paradis que le camion de C'est pas sorcier fait escale. Fred et Jamy nous emmènent à la découverte de l'archipel, et nous expliquent sa passionnante histoire et son extraordinaire diversité. Comment le peuplement de l'archipel et de la région Pacifique a-t-il évolué ? Quelle est l'histoire géologique de la région ? Pourquoi les sous-sols calédoniens sont-ils si riches en nickel ? D'où vient ce minerai qui attire toutes les convoitises ? Pourquoi certaines des îles de Nouvelle-Calédonie risquent-elles de disparaître ?;https://youtu.be/6PMMC9RX5Fw
2007-01-01;Géographie – Découverte;La Polynésie : bienvenue au paradis !;Vincent Basso-Bondini ;Fred et Jamy ;Situées à 18 000 kilomètres de Paris, les 118 îles de la Polynésie sont des petits bouts de France nichés au coeur de l'océan Pacifique. 118 petits paradis qui ne se limitent pas aux belles plages désertes et aux vahinés ondulantes...Avec leurs volcans surgis de l'océan et leurs atolls aux eaux bleu turquoise, leur  histoire géologique est passionnante ! Surtout, elles abritent une culture trop mal connue : celle des maohis, qui, pour coloniser ces cailloux minuscules, traversèrent le plus grand océan de la planète à bord de leurs étonnantes pirogues. Fred et Jamy sont partis explorer ces îles du bout du monde. Mission : Gigantesques volcans qui surgissent de l'océan à leur naissance, les îles de la Polynésie s'usent, s'érodent, s'enfoncent... pour laisser place à des anneaux de corail tout plats - des atolls - qui disparaîtront à leur tour. Fred est parti explorer les îles hautes de Moorea et de Bora-Bora pour comprendre cet étrange phénomène. Entre une rencontre avec un maître tatoueur, un tour de lagon en pirogue traditionnelle et une visite du très joli marché de Papeete sur l'île de Tahiti, Fred nous raconte ensuite l'histoire extraordinaire du peuple polynésien. Nous découvrons enfin la Polynésie d'aujourd'hui avec ses fermes perlières, ses beaux hôtels et ses cocoteraies..;https://youtu.be/y4T3W352BjU
2007-01-01;Géographie – Découverte;Les sorciers jouent les Robinson Crusoé;François Davin ;Fred et Jamy ;Ce n’est pas sur une île déserte, mais dans les Alpes de Hautes Provence que Fred et Jamy partent jouer les Robinsons Crusoé.  Et c’est plus précisément au milieu de la Nature sauvage des Gorges du Verdon, que Jamy et Marcel vont larguer Fred, pour une véritable opération de survie. Notre animateur vedette est-il capable de se débrouiller seul, loin de la civilisation ? Comment va t-il s’orienter, se nourrir, trouver de l’eau?  Fred livré à lui-même dans les gorges du Verdon, c’est la télé-réalité version C’est Pas Sorcier. MISSIONS : Fred et Jamy nous montrent comment, grâce à quelques connaissances pratiques et à d’ingénieux bricolages, il est possible de se débrouiller –et de survivre- quand on est seul, perdu en pleine Nature. Comment se repérer grâce au soleil, aux étoiles, ou à la lune ? Comment se fabriquer une boussole de fortune ? Comment faire du feu sans allumettes ?Ou encore comment récupérer l’eau des plantes pour la boire? Fred et Jamy nous offrent là un véritable guide du parfait « Robinson » ! (ou : de survie en milieu naturel);https://youtu.be/a8eOgXEfgK8
2009-08-08;Géographie – Découverte;Le Pérou : à la découverte des Andes;Pascal Léonard ;Fred et Jamy ;C’est pas sorcier embarque pour le Pérou et  la cordillère des Andes et à l’extraordinaire civilisation qui y régnait avant l’arrivée des Espagnols : les Incas. Du célèbre Machu Picchu, niché au cœur d’une vallée stupéfiante, aux îles solitaires du lac Titicaca, en passant par la capitale historique de Cusco, Fred et Jamy nous invitent à explorer les trésors du Pérou. Nous découvrons avec eux comment des hommes et des femmes qui ne connaissaient ni la roue, ni l’écriture, ni le fer… sont parvenus à construire des cités hors des communes nichées à plus de 3000 mètres d’altitude. Les Andes, l'un des plus anciens foyers de civilisation du monde Avant de partir sur la piste des Incas, Fred et Jamy nous emmènent à la découverte des grandes civilisations qui les ont précédés. Chavin, Moche, Nazca, Paracas… c’est au cœur de la cordillère des Andes que tous ces peuples ont vu le jour.;https://youtu.be/ZNy_yOqYvLI
2009-12-06;Géographie – Découverte;La Corse : l'île aux mille beautés ;Pascal Léonard-Maestrati ;Fred et Jamy ;INDISPO (autre nom?);INDISPO
2012-04-28;Géographie – Découverte;Le Mercantour, entre monts et merveilles;Luc Baudonnière ;Sabine et Jamy ;Le Parc National du Mercantour est un joyau naturel situé à l’extrême sud de l’arc alpin, juste avant sa plongée dans la mer. A mi chemin entre la Provence et l'Italie, il offre une variété de paysages, d'animaux et de plantes que l'on ne retrouve nulle part ailleurs. Sa biodiversité attire toujours plus de touristes mais également les scientifiques du monde entier. Sabine est partie à la découverte de cette nature exceptionnelle, accompagnée par ceux qui la connaissent le mieux : les agents du Parc National. Quand à Jamy, il s’est installé dans un chalet traditionnel, au cœur du Mercantour.;https://youtu.be/mXxKFLjpp2s
2013-01-26;Géographie – Découverte;Thau : une lagune fragile;Romain Dussaulx ;Sabine et Jamy ;Aux pieds de la ville de Sète, s’étend l’un des joyaux de la mer Méditerranée : l’étang de Thau. Cette lagune est un véritable incubateur où la vie apparaît dans les moindres profondeurs. Ce site exceptionnel de part sa biodiversité est source de nourriture pour de nombreuses espèces animales et végétales. L’homme a également su tirer profit de ses richesses. Mais cette lagune, si belle, est fragile. La moindre perturbation et c’est toute la biodiversité qui s’en trouve modifiée voire menacée.;https://youtu.be/37s1TnMcwkE
2013-05-25;Géographie – Découverte;Oasis : les champs du désert;Pascal Léonard ;Fred et Jamy ;INDISPO;INDISPO
2013-09-07;Géographie – Découverte;Vivre en plein désert;Pascal Léonard ;Fred et Jamy ;INDISPO;INDISPO
